Source,Target,Type,Id,Label,timeset,Weight,background_map_edge,created_at,updated_at,deleted_at
376057,337477,Directed,0,0,,1,,2021-08-24 15:41:28.521000,2021-08-24 15:41:28.521000,
172403,129497,Directed,1,1,,1,,2018-02-17 04:22:13.580000,2018-02-17 04:22:13.580000,
214496,86078,Directed,2,2,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,6559,Directed,3,3,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,99442,Directed,4,4,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,99443,Directed,5,5,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,60504,Directed,6,6,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,110981,Directed,7,7,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,179033,Directed,8,8,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,181209,Directed,9,9,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
214496,213342,Directed,10,10,,1,,2019-02-13 18:54:17.171621,2019-02-13 18:54:17.171621,
192635,192606,Directed,11,11,,1,,2022-01-19 22:08:01.225000,2022-01-19 22:08:01.225000,
314645,357967,Directed,12,12,,1,,2022-01-10 16:26:13.333000,2022-01-10 16:26:13.333000,
436364,425960,Directed,13,13,,1,,2021-07-26 22:54:06.618000,2021-07-26 22:54:06.618000,
361424,192647,Directed,14,14,,1,,2022-02-02 04:46:39.713000,2022-02-02 04:46:39.713000,
361424,58878,Directed,15,15,,1,,2022-01-30 01:30:12.913000,2022-01-30 01:30:12.913000,2022-01-30 01:30:37.405000
361424,120718,Directed,16,16,,1,,2022-01-30 01:29:49.654000,2022-01-30 01:29:49.654000,
361424,115677,Directed,17,17,,1,,2022-01-30 01:28:03.624000,2022-01-30 01:28:03.624000,
361424,99134,Directed,18,18,,1,,2022-01-30 01:27:52.340000,2022-01-30 01:27:52.340000,
361424,136425,Directed,19,19,,1,,2022-01-30 01:26:56.191000,2022-01-30 01:26:56.191000,
361424,133051,Directed,20,20,,1,,2022-01-30 01:26:49.507000,2022-01-30 01:26:49.507000,
361424,495650,Directed,21,21,,1,,2022-01-28 15:11:37.136000,2022-01-28 15:11:37.136000,
361424,410486,Directed,22,22,,1,,2022-01-26 22:49:55.489000,2022-01-26 22:49:55.489000,
361424,438223,Directed,23,23,,1,,2022-01-26 20:01:01.642000,2022-01-26 20:01:01.642000,
361424,274181,Directed,24,24,,1,,2022-01-26 19:21:07.876000,2022-01-26 19:21:07.876000,
361424,65247,Directed,25,25,,1,,2022-01-26 19:16:25.849000,2022-01-26 19:16:25.849000,
43718,60005,Directed,26,26,,1,,2017-03-30 19:41:52.890678,2017-03-30 19:41:52.890678,
43718,32290,Directed,27,27,,1,,2017-03-30 19:41:52.890678,2017-03-30 19:41:52.890678,
85881,88581,Directed,28,28,,1,,2015-07-03 20:20:22.241691,2015-07-03 20:20:22.241691,
85881,56864,Directed,29,29,,1,,2015-05-26 11:45:07.829943,2015-05-26 11:45:07.829943,
85881,59354,Directed,30,30,,1,,2015-05-26 11:45:07.829943,2015-05-26 11:45:07.829943,
85881,24330,Directed,31,31,,1,,2015-05-26 11:45:07.829943,2015-05-26 11:45:07.829943,
85881,85954,Directed,32,32,,1,,2015-05-26 11:45:07.829943,2015-05-26 11:45:07.829943,
85881,76054,Directed,33,33,,1,,2016-03-16 11:57:38.613419,2016-03-16 11:57:38.613419,
85881,95818,Directed,34,34,,1,,2016-03-16 11:57:38.613419,2016-03-16 11:57:38.613419,
85881,125867,Directed,35,35,,1,,2016-05-01 14:11:56.058350,2016-05-01 14:11:56.058350,
85881,78642,Directed,36,36,,1,,2016-05-01 14:11:56.058350,2016-05-01 14:11:56.058350,
85881,7974,Directed,37,37,,1,,2019-02-10 13:07:52.730887,2019-02-10 13:07:52.730887,
85881,172896,Directed,38,38,,1,,2019-02-10 13:07:52.730887,2019-02-10 13:07:52.730887,
174457,136850,Directed,39,39,,1,,2018-07-29 06:36:15.517000,2018-07-29 06:36:15.517000,
174457,194422,Directed,40,40,,1,,2019-06-11 00:27:07.350000,2019-06-11 00:27:07.350000,2020-01-04 17:25:30.929000
240682,176241,Directed,41,41,,1,,2020-03-15 11:31:51.663000,2020-03-15 11:31:51.663000,
240682,176245,Directed,42,42,,1,,2020-03-15 02:12:49.902000,2020-03-15 02:12:49.902000,
240682,109701,Directed,43,43,,1,,2020-03-14 22:49:38.432000,2020-03-14 22:49:38.432000,
174142,174275,Directed,44,44,,1,,2018-07-03 11:47:36.000000,2018-07-03 11:47:36.000000,
174142,175586,Directed,45,45,,1,,2018-12-04 21:16:21.173182,2018-12-04 21:16:21.173182,
174142,15188,Directed,46,46,,1,,2018-12-04 21:16:21.173182,2018-12-04 21:16:21.173182,
174142,192101,Directed,47,47,,1,,2018-12-04 21:16:21.173182,2018-12-04 21:16:21.173182,
189209,250621,Directed,48,48,,1,,2019-09-21 22:55:14.551000,2019-09-21 22:55:14.551000,
180464,199306,Directed,49,49,,1,,2020-12-12 22:53:17.144000,2020-12-12 22:53:17.144000,
180464,43341,Directed,50,50,,1,,2020-12-12 22:53:15.865000,2020-12-12 22:53:15.865000,
180464,59778,Directed,51,51,,1,,2020-12-12 22:53:14.278000,2020-12-12 22:53:14.278000,
180464,236585,Directed,52,52,,1,,2020-12-09 19:35:46.412000,2020-12-09 19:35:46.412000,
180464,332916,Directed,53,53,,1,,2020-12-09 19:35:44.544000,2020-12-09 19:35:44.544000,
180464,247431,Directed,54,54,,1,,2020-06-06 19:14:10.925000,2020-06-06 19:14:10.925000,
180464,189869,Directed,55,55,,1,,2020-06-06 19:14:10.377000,2020-06-06 19:14:10.377000,
180464,164196,Directed,56,56,,1,,2020-04-03 20:48:09.907000,2020-04-03 20:48:09.907000,
327348,164196,Directed,57,57,,1,,2020-08-07 12:15:46.953000,2020-08-07 12:15:46.953000,
327348,236585,Directed,58,58,,1,,2020-08-07 12:15:46.048000,2020-08-07 12:15:46.048000,
327348,327180,Directed,59,59,,1,,2020-08-07 12:15:44.492000,2020-08-07 12:15:44.492000,
327348,327503,Directed,60,60,,2,,2020-08-07 10:55:25.895000,2020-08-07 10:55:25.895000,2020-08-07 10:55:26.469000
327348,66453,Directed,62,62,,1,,2020-08-05 21:38:28.837000,2020-08-05 21:38:28.837000,
43612,149101,Directed,63,63,,1,,2020-12-28 05:27:57.143000,2020-12-28 05:27:57.143000,
43612,134409,Directed,64,64,,1,,2020-12-28 05:27:55.945000,2020-12-28 05:27:55.945000,
43612,116585,Directed,65,65,,1,,2020-12-28 05:27:55.325000,2020-12-28 05:27:55.325000,
43612,78270,Directed,66,66,,1,,2020-12-28 05:27:49.995000,2020-12-28 05:27:49.995000,
43612,200,Directed,67,67,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,32806,Directed,68,68,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,43593,Directed,69,69,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,43661,Directed,70,70,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,44880,Directed,71,71,,1,,2014-11-17 17:08:58.267925,2014-11-17 17:08:58.267925,
43612,119828,Directed,72,72,,1,,2017-05-12 00:21:44.122813,2017-05-12 00:21:44.122813,
43612,9802,Directed,73,73,,1,,2017-05-12 00:21:44.122813,2017-05-12 00:21:44.122813,
